"species","stressor","dose","rep","response"
"Cress","NaCl",100,1,63.808136709465
"Cress","NaCl",100,2,65.7941543647765
"Cress","NaCl",100,3,44.3919516445464
"Cress","NaCl",100,4,72.7061738254183
"Cress","NaCl",100,5,64.5637854567713
"Cress","NaCl",100,6,66.897606088764
"Cress","NaCl",200,1,53.9922359750059
"Cress","NaCl",200,2,67.0107193969615
"Cress","NaCl",200,3,39.9702352044006
"Cress","NaCl",200,4,40.8507654465659
"Cress","NaCl",200,5,59.1407169451442
"Cress","NaCl",200,6,40.4503896186644
"Cress","NaCl",400,1,42.0031526343594
"Cress","NaCl",400,2,43.7163575868062
"Cress","NaCl",400,3,29.6999861635288
"Cress","NaCl",400,4,24.9671227989317
"Cress","NaCl",400,5,27.1051162033031
"Cress","NaCl",400,6,34.3156072863211
"Cress","NaCl",800,1,21.2629753004628
"Cress","NaCl",800,2,24.5277137207585
"Cress","NaCl",800,3,19.3174293332422
"Cress","NaCl",800,4,26.2234657403519
"Cress","NaCl",800,5,27.8081067384694
"Cress","NaCl",800,6,23.8420115522968
"Cress","Cu",0,1,106.713757719268
"Cress","Cu",0,2,96.9875968127474
"Cress","Cu",0,3,93.1020748651957
"Cress","Cu",0,4,107.913161399459
"Cress","Cu",0,5,97.2961755351153
"Cress","Cu",0,6,107.395964679294
"Cress","Cu",5,1,93.0542250169932
"Cress","Cu",5,2,103.447828806554
"Cress","Cu",5,3,98.4895563649104
"Cress","Cu",5,4,100.730739717594
"Cress","Cu",5,5,100.001741225512
"Cress","Cu",5,6,97.5832468155104
"Cress","Cu",10,1,87.3896332386784
"Cress","Cu",10,2,87.6329489757016
"Cress","Cu",10,3,97.2354808452199
"Cress","Cu",10,4,91.6517627848184
"Cress","Cu",10,5,95.1781003822668
"Cress","Cu",10,6,85.9501159012037
"Cress","Cu",25,1,66.1135078965769
"Cress","Cu",25,2,83.7160110605118
"Cress","Cu",25,3,73.5367860808265
"Cress","Cu",25,4,85.8707280244769
"Cress","Cu",25,5,68.6718148336612
"Cress","Cu",25,6,62.3138387803825
"Cress","Cu",50,1,46.9124498445499
"Cress","Cu",50,2,38.143128997695
"Cress","Cu",50,3,50.648746512996
"Cress","Cu",50,4,52.072316379309
"Cress","Cu",50,5,48.2423262498529
"Cress","Cu",50,6,38.4999948357744
"Cress","Cu",100,1,21.5453711997676
"Cress","Cu",100,2,25.8387329810206
"Cress","Cu",100,3,17.2878831886377
"Cress","Cu",100,4,12.1913933480709
"Cress","Cu",100,5,31.2841979230288
"Cress","Cu",100,6,26.2638467179204
"Cress","Cu",200,1,6.79621338729892
"Cress","Cu",200,2,10.1566693511587
"Cress","Cu",200,3,14.2257757527514
"Cress","Cu",200,4,15.49634066112
"Cress","Cu",200,5,16.8562580709802
"Cress","Cu",200,6,13.8639072908246
"Cress","Glyphosate",0,1,110.398781982257
"Cress","Glyphosate",0,2,97.2954571706579
"Cress","Glyphosate",0,3,100.157366979336
"Cress","Glyphosate",0,4,100.77209736878
"Cress","Glyphosate",0,5,104.236080103037
"Cress","Glyphosate",0,6,103.314233277863
"Cress","Glyphosate",1,1,102.430493504985
"Cress","Glyphosate",1,2,94.2424215880727
"Cress","Glyphosate",1,3,101.16358253393
"Cress","Glyphosate",1,4,97.4424228272738
"Cress","Glyphosate",1,5,102.78483694953
"Cress","Glyphosate",1,6,97.5536461870865
"Cress","Glyphosate",3,1,92.1972920553667
"Cress","Glyphosate",3,2,87.3228188344311
"Cress","Glyphosate",3,3,87.2148454333353
"Cress","Glyphosate",3,4,93.2075757909458
"Cress","Glyphosate",3,5,80.2285002796865
"Cress","Glyphosate",3,6,102.793107035715
"Cress","Glyphosate",10,1,25.1615023919333
"Cress","Glyphosate",10,2,44.7109072680675
"Cress","Glyphosate",10,3,56.5434689646887
"Cress","Glyphosate",10,4,47.6826671537193
"Cress","Glyphosate",10,5,29.1056700414912
"Cress","Glyphosate",10,6,58.4231186789973
"Cress","Glyphosate",30,1,8.60719968196726
"Cress","Glyphosate",30,2,10.3916636041858
"Cress","Glyphosate",30,3,15.7999847699611
"Cress","Glyphosate",30,4,9.56299368749237
"Cress","Glyphosate",30,5,9.62875123051267
"Cress","Glyphosate",30,6,14.2320225226776
"Cress","Glyphosate",100,1,4.20294152208638
"Cress","Glyphosate",100,2,6.4823690755707
"Cress","Glyphosate",100,3,10.6916630141349
"Cress","Glyphosate",100,4,3.86198702938228
"Cress","Glyphosate",100,5,1.42855940576299
"Cress","Glyphosate",100,6,12.5066283190828
"Cress","Glyphosate",300,1,9.34011952328119
"Cress","Glyphosate",300,2,0
"Cress","Glyphosate",300,3,0
"Cress","Glyphosate",300,4,3.97476025591126
"Cress","Glyphosate",300,5,6.30387853890888
"Cress","Glyphosate",300,6,4.94594498369776
